redizo,school_name,serving_mc,address,zrizovatel,cohort_birth_year,entry_year,births_mc,streets_school,streets_mc,catchment_share,kapacita_registered,capacity_entry_grade,expected_entrants_ceiling,expected_entrants_corrected,external_flow_ratio_used,pressure_ceiling,pressure_corrected,pressure_corrected_min,pressure_corrected_max
600036227,"Základní škola Pražačka, Praha 3, Nad Ohradou 25/1700",Praha 3,"Nad Ohradou 1700/25, Žižkov, 130 00 Praha",Městská část Praha 3,2021,2027,951,22,235,0.0936,500,50.0,89.0,51.4,0.5777,1.781,1.029,0.926,1.143
600036138,"Základní škola, Praha 3, nám. Jiřího z Poděbrad 7,8/1685",Praha 3,"náměstí Jiřího z Poděbrad 1685/7, Vinohrady, 130 00 Praha",Městská část Praha 3,2024,2030,826,31,235,0.1319,620,62.0,109.0,62.9,0.5777,1.757,1.015,0.914,1.128
600036146,"Základní škola, Praha 3, Cimburkova 18/600",Praha 3,"Cimburkova 600/18, Žižkov, 130 00 Praha",Městská část Praha 3,2021,2027,951,11,235,0.0468,258,25.8,44.5,25.7,0.5777,1.725,0.997,0.897,1.107
600036219,"Základní škola a mateřská škola Jaroslava Seiferta, Praha 3, Vlkova 31/800",Praha 3,"Vlkova 800/31, Žižkov, 130 00 Praha",Městská část Praha 3,2024,2030,826,18,235,0.0766,400,40.0,63.3,36.5,0.5777,1.582,0.914,0.822,1.015
600036227,"Základní škola Pražačka, Praha 3, Nad Ohradou 25/1700",Praha 3,"Nad Ohradou 1700/25, Žižkov, 130 00 Praha",Městská část Praha 3,2024,2030,826,22,235,0.0936,500,50.0,77.3,44.7,0.5777,1.547,0.893,0.804,0.993
600036146,"Základní škola, Praha 3, Cimburkova 18/600",Praha 3,"Cimburkova 600/18, Žižkov, 130 00 Praha",Městská část Praha 3,2024,2030,826,11,235,0.0468,258,25.8,38.7,22.3,0.5777,1.499,0.866,0.779,0.962
600036120,"Základní škola, Praha 3, Lupáčova 1/1200",Praha 3,"Lupáčova 1200/1, Žižkov, 130 00 Praha",Městská část Praha 3,2021,2027,951,26,235,0.1106,735,73.5,105.2,60.8,0.5777,1.432,0.827,0.744,0.919
600036162,"Základní škola a mateřská škola, Praha 3, Chelčického 43/2614",Praha 3,"Chelčického 2614/43, Žižkov, 130 00 Praha",Městská část Praha 3,2021,2027,951,36,235,0.1532,1050,105.0,145.7,84.2,0.5777,1.387,0.801,0.721,0.891
600036111,"Základní škola a mateřská škola, Praha 3, nám. Jiřího z Lobkovic 22/121",Praha 3,"náměstí Jiřího z Lobkovic 121/22, Vinohrady, 130 00 Praha",Městská část Praha 3,2021,2027,951,24,235,0.1021,725,72.5,97.1,56.1,0.5777,1.34,0.774,0.696,0.86
600036171,"Základní škola Chmelnice, Praha 3, K Lučinám 18/2500",Praha 3,"K lučinám 2500/18, Žižkov, 130 00 Praha",Městská část Praha 3,2021,2027,951,23,235,0.0979,700,70.0,93.1,53.8,0.5777,1.33,0.768,0.691,0.853
600036120,"Základní škola, Praha 3, Lupáčova 1/1200",Praha 3,"Lupáčova 1200/1, Žižkov, 130 00 Praha",Městská část Praha 3,2024,2030,826,26,235,0.1106,735,73.5,91.4,52.8,0.5777,1.243,0.718,0.646,0.798
600036162,"Základní škola a mateřská škola, Praha 3, Chelčického 43/2614",Praha 3,"Chelčického 2614/43, Žižkov, 130 00 Praha",Městská část Praha 3,2024,2030,826,36,235,0.1532,1050,105.0,126.5,73.1,0.5777,1.205,0.696,0.627,0.773
600036111,"Základní škola a mateřská škola, Praha 3, nám. Jiřího z Lobkovic 22/121",Praha 3,"náměstí Jiřího z Lobkovic 121/22, Vinohrady, 130 00 Praha",Městská část Praha 3,2024,2030,826,24,235,0.1021,725,72.5,84.4,48.7,0.5777,1.164,0.672,0.605,0.747
