redizo,school_name,serving_mc,address,zrizovatel,cohort_birth_year,entry_year,births_mc,streets_school,streets_mc,catchment_share,kapacita_registered,capacity_entry_grade,expected_entrants_ceiling,expected_entrants_corrected,external_flow_ratio_used,pressure_ceiling,pressure_corrected,pressure_corrected_min,pressure_corrected_max
600039820,"Základní škola, Praha 8, Palmovka 8",Praha 8,"Palmovka 468/8, Libeň, 180 00 Praha",Městská část Praha 8,2024,2030,896,57,527,0.1082,500,50.0,96.9,56.0,0.5777,1.938,1.12,1.008,1.244
600039897,"Základní škola Bohumila Hrabala, Praha 8, Zenklova 52",Praha 8,"Zenklova 26/52, Libeň, 180 00 Praha",Městská část Praha 8,2021,2027,1228,81,527,0.1537,1100,110.0,188.7,109.0,0.5777,1.716,0.991,0.892,1.101
600039871,"Základní škola a mateřská škola, Praha 8, U Školské zahrady 4",Praha 8,"U školské zahrady 1030/4, Kobylisy, 182 00 Praha",Městská část Praha 8,2024,2030,896,40,527,0.0759,450,45.0,68.0,39.3,0.5777,1.511,0.873,0.786,0.97
600039811,"Základní škola, Praha 8, Na Šutce 28",Praha 8,"Na Šutce 440/28, Troja, 182 00 Praha",Městská část Praha 8,2024,2030,896,46,527,0.0873,550,55.0,78.2,45.2,0.5777,1.422,0.821,0.739,0.913
600039935,"Základní škola a mateřská škola Na Slovance, Praha 8, Bedřichovská 1",Praha 8,"Bedřichovská 1960/1, Libeň, 182 00 Praha",Městská část Praha 8,2021,2027,1228,37,527,0.0702,650,65.0,86.2,49.8,0.5777,1.326,0.766,0.69,0.851
600039897,"Základní škola Bohumila Hrabala, Praha 8, Zenklova 52",Praha 8,"Zenklova 26/52, Libeň, 180 00 Praha",Městská část Praha 8,2024,2030,896,81,527,0.1537,1100,110.0,137.7,79.6,0.5777,1.252,0.723,0.651,0.804
600039901,"Základní škola, Praha 8, Žernosecká 3",Praha 8,"Žernosecká 1597/3, Kobylisy, 182 00 Praha",Městská část Praha 8,2021,2027,1228,36,527,0.0683,730,73.0,83.9,48.5,0.5777,1.149,0.664,0.597,0.738
600039935,"Základní škola a mateřská škola Na Slovance, Praha 8, Bedřichovská 1",Praha 8,"Bedřichovská 1960/1, Libeň, 182 00 Praha",Městská část Praha 8,2024,2030,896,37,527,0.0702,650,65.0,62.9,36.3,0.5777,0.968,0.559,0.503,0.621
600039901,"Základní škola, Praha 8, Žernosecká 3",Praha 8,"Žernosecká 1597/3, Kobylisy, 182 00 Praha",Městská část Praha 8,2024,2030,896,36,527,0.0683,730,73.0,61.2,35.4,0.5777,0.838,0.484,0.436,0.538
600039749,"Základní škola, Praha 8, Burešova 14",Praha 8,"Burešova 1130/14, Kobylisy, 182 00 Praha",Městská část Praha 8,2021,2027,1228,34,527,0.0645,1000,100.0,79.2,45.8,0.5777,0.792,0.458,0.412,0.509
