year,reference_date,mc,mc_code,count,count_kind,source_slug,kind,notes
2009,2009-12-31,Praha 7,547141,522,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2009'; row 'Živě narození / Live births'
2009,2009-12-31,Praha 8,547158,1274,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2009'; row 'Živě narození / Live births'
2009,2009-12-31,Praha 9,547166,699,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2009'; row 'Živě narození / Live births'
2009,2009-12-31,Praha 10,547174,1215,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2009'; row 'Živě narození / Live births'
2009,2009-12-31,Praha 14,547221,537,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2009'; row 'Živě narození / Live births'
2010,2010-12-31,Praha 3,547107,826,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2010'; row 'Živě narození / Live births'
2010,2010-12-31,Praha 7,547141,539,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2010'; row 'Živě narození / Live births'
2010,2010-12-31,Praha 8,547158,1211,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2010'; row 'Živě narození / Live births'
2010,2010-12-31,Praha 9,547166,735,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2010'; row 'Živě narození / Live births'
2010,2010-12-31,Praha 10,547174,1284,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2010'; row 'Živě narození / Live births'
2010,2010-12-31,Praha 14,547221,543,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2010'; row 'Živě narození / Live births'
2011,2011-12-31,Praha 3,547107,815,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2011'; row 'Živě narození / Live births'
2011,2011-12-31,Praha 7,547141,543,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2011'; row 'Živě narození / Live births'
2011,2011-12-31,Praha 8,547158,1154,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2011'; row 'Živě narození / Live births'
2011,2011-12-31,Praha 9,547166,671,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2011'; row 'Živě narození / Live births'
2011,2011-12-31,Praha 10,547174,1197,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2011'; row 'Živě narození / Live births'
2011,2011-12-31,Praha 14,547221,511,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2011'; row 'Živě narození / Live births'
2012,2012-12-31,Praha 3,547107,789,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2012'; row 'Živě narození / Live births'
2012,2012-12-31,Praha 7,547141,540,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2012'; row 'Živě narození / Live births'
2012,2012-12-31,Praha 8,547158,1126,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2012'; row 'Živě narození / Live births'
2012,2012-12-31,Praha 9,547166,688,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2012'; row 'Živě narození / Live births'
2012,2012-12-31,Praha 10,547174,1171,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2012'; row 'Živě narození / Live births'
2012,2012-12-31,Praha 14,547221,552,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2012'; row 'Živě narození / Live births'
2013,2013-12-31,Praha 3,547107,841,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2013'; row 'Živě narození / Live births'
2013,2013-12-31,Praha 7,547141,506,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2013'; row 'Živě narození / Live births'
2013,2013-12-31,Praha 8,547158,1061,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2013'; row 'Živě narození / Live births'
2013,2013-12-31,Praha 9,547166,717,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2013'; row 'Živě narození / Live births'
2013,2013-12-31,Praha 10,547174,1136,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2013'; row 'Živě narození / Live births'
2013,2013-12-31,Praha 14,547221,460,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2013'; row 'Živě narození / Live births'
2014,2014-12-31,Praha 3,547107,850,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2014'; row 'Živě narození / Live births'
2014,2014-12-31,Praha 7,547141,573,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2014'; row 'Živě narození / Live births'
2014,2014-12-31,Praha 8,547158,1124,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2014'; row 'Živě narození / Live births'
2014,2014-12-31,Praha 9,547166,737,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2014'; row 'Živě narození / Live births'
2014,2014-12-31,Praha 10,547174,1225,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2014'; row 'Živě narození / Live births'
2014,2014-12-31,Praha 14,547221,531,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2014'; row 'Živě narození / Live births'
2015,2015-12-31,Praha 3,547107,901,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2015'; row 'Živě narození / Live births'
2015,2015-12-31,Praha 7,547141,621,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2015'; row 'Živě narození / Live births'
2015,2015-12-31,Praha 8,547158,1116,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2015'; row 'Živě narození / Live births'
2015,2015-12-31,Praha 9,547166,721,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2015'; row 'Živě narození / Live births'
2015,2015-12-31,Praha 10,547174,1212,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2015'; row 'Živě narození / Live births'
2015,2015-12-31,Praha 14,547221,528,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2015'; row 'Živě narození / Live births'
2016,2016-12-31,Praha 3,547107,864,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2016'; row 'Živě narození / Live births'
2016,2016-12-31,Praha 7,547141,629,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2016'; row 'Živě narození / Live births'
2016,2016-12-31,Praha 8,547158,1108,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2016'; row 'Živě narození / Live births'
2016,2016-12-31,Praha 9,547166,764,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2016'; row 'Živě narození / Live births'
2016,2016-12-31,Praha 10,547174,1287,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2016'; row 'Živě narození / Live births'
2016,2016-12-31,Praha 14,547221,555,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2016'; row 'Živě narození / Live births'
2017,2017-12-31,Praha 3,547107,953,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2017'; row 'Živě narození / Live births'
2017,2017-12-31,Praha 7,547141,608,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2017'; row 'Živě narození / Live births'
2017,2017-12-31,Praha 8,547158,1172,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2017'; row 'Živě narození / Live births'
2017,2017-12-31,Praha 9,547166,755,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2017'; row 'Živě narození / Live births'
2017,2017-12-31,Praha 10,547174,1345,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2017'; row 'Živě narození / Live births'
2017,2017-12-31,Praha 14,547221,594,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2017'; row 'Živě narození / Live births'
2018,2018-12-31,Praha 3,547107,942,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2018'; row 'Živě narození / Live births'
2018,2018-12-31,Praha 7,547141,635,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500186; sheet '2018'; row 'Živě narození / Live births'
2018,2018-12-31,Praha 8,547158,1164,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500208; sheet '2018'; row 'Živě narození / Live births'
2018,2018-12-31,Praha 9,547166,765,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500216; sheet '2018'; row 'Živě narození / Live births'
2018,2018-12-31,Praha 10,547174,1277,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500224; sheet '2018'; row 'Živě narození / Live births'
2018,2018-12-31,Praha 14,547221,549,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=547361; sheet '2018'; row 'Živě narození / Live births'
2019,2019-12-31,Praha 3,547107,919,live_births,csu-casova-rada-mc-2004-2025,historical,ČSÚ KOD_ZUJ=500097; sheet '2019'; row 'Živě narození / Live births'
