mc,name,redizo,izo_zs,address,zrizovatel,type,kapacita_registered,snapshot_date,source_url,notes
Praha 10,"Základní škola, Praha 10, U Roháčových kasáren 1381/19, příspěvková organizace",600041166,102337713,"U Roháčových kasáren 1381/19, Vršovice, 100 00 Praha",Městská část Praha 10,state,620,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 10,"Základní škola, Praha 10, U Vršovického nádraží 950/1, příspěvková organizace",600041182,102337756,"U vršovického nádraží 950/1, Vršovice, 101 00 Praha",Městská část Praha 10,state,490,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 10,"Základní škola, Praha 10, V Rybníčkách 1980/31, příspěvková organizace",600041115,048132012,"V Rybníčkách 1980/31, Strašnice, 100 00 Praha",Městská část Praha 10,state,660,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 10,"Základní škola, Praha 10, Švehlova 2900/12, příspěvková organizace",600041123,102337616,"Švehlova 2900/12, Záběhlice, 106 00 Praha",Městská část Praha 10,state,630,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 14,"Be Open - základní škola a gymnázium, s. r. o.",691011966,181095416,"Římovská 1029/21, Hloubětín, 198 00 Praha",,private,110,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 14,"Základní škola Generála Janouška, Praha 9 - Černý Most, Dygrýnova 1006/21",600040577,102761451,"Dygrýnova 1006/21, Černý Most, 198 00 Praha",Městská část Praha 14,state,800,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 14,"Základní škola Tolerance, Praha 9, Mochovská 570",600171434,102301662,"Mochovská 570/41, Hloubětín, 198 00 Praha",Hlavní město Praha,state,279,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,zs_specialni
Praha 14,Základní škola Vela s.r.o.,691013098,181103427,"Poděbradská 489/116, Hloubětín, 198 00 Praha",,private,210,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 14,"Základní škola, Praha 9 - Hloubětín, Hloubětínská 700",600040356,102301646,"Hloubětínská 700/24, Hloubětín, 198 00 Praha",Městská část Praha 14,state,500,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
Praha 14,"Základní škola, Praha 9 - Kyje, Šimanovská 16, příspěvková organizace",600040364,102301760,"Šimanovská 16, Kyje, 198 00 Praha",Městská část Praha 14,state,595,2025-10-31,https://lkod-ftp.msmt.gov.cz/00022985/e9c07729-877e-4af0-be4a-9d36e45806ae/rssz-cela-cr-2025-10-31.jsonld,
